Task,Model,Metric,Value,Fold
ABL1,mkl,pearson,0.18793581401303625,All
ABL1,mkl,pearson_p,0.00014768257198940658,All
ABL1,mkl,r2_score,-10.910697776084879,All
ABL1,mkl,spearman,0.19275707943880166,All
ABL1,mkl,spearman_p,9.855126678121863e-05,All
ACACA,mkl,pearson,0.5294545384066309,All
ACACA,mkl,pearson_p,1.6972493061749345e-30,All
ACACA,mkl,r2_score,-3.491387581988178,All
ACACA,mkl,spearman,0.5320928766651704,All
ACACA,mkl,spearman_p,7.728492519021909e-31,All
ACVRL1,mkl,pearson,0.24112136039568047,All
ACVRL1,mkl,pearson_p,9.686937162301602e-07,All
ACVRL1,mkl,r2_score,-8.247091197213576,All
ACVRL1,mkl,spearman,0.2632792473508405,All
ACVRL1,mkl,spearman_p,8.148996634989657e-08,All
ADAR,mkl,pearson,0.5405729922151824,All
ADAR,mkl,pearson_p,5.880039960494022e-32,All
ADAR,mkl,r2_score,-1.7187256893255158,All
ADAR,mkl,spearman,0.5525973622079534,All
ADAR,mkl,spearman_p,1.3416088187924999e-33,All
AKT1,mkl,pearson,0.3470776923682523,All
AKT1,mkl,pearson_p,7.500424390695636e-13,All
AKT1,mkl,r2_score,-4.469862159200313,All
AKT1,mkl,spearman,0.38346436304817694,All
AKT1,mkl,spearman_p,1.448857486686791e-15,All
AKT2,mkl,pearson,0.3462284322661891,All
AKT2,mkl,pearson_p,8.597695522082638e-13,All
AKT2,mkl,r2_score,-4.476844080646882,All
AKT2,mkl,spearman,0.3830662296274615,All
AKT2,mkl,spearman_p,1.5581605170735222e-15,All
AKT3,mkl,pearson,0.34719712890447635,All
AKT3,mkl,pearson_p,7.357533642187315e-13,All
AKT3,mkl,r2_score,-4.479239853839174,All
AKT3,mkl,spearman,0.38357987032657936,All
AKT3,mkl,spearman_p,1.4185794315625654e-15,All
ANXA1,mkl,pearson,0.5495732536138496,All
ANXA1,mkl,pearson_p,3.5220082871155506e-33,All
ANXA1,mkl,r2_score,-1.772509314990856,All
ANXA1,mkl,spearman,0.5701765089127394,All
ANXA1,mkl,spearman_p,4.019966815440824e-36,All
ANXA7,mkl,pearson,0.3799465307977218,All
ANXA7,mkl,pearson_p,2.745562289807269e-15,All
ANXA7,mkl,r2_score,-4.2320276938893056,All
ANXA7,mkl,spearman,0.43615346645363867,All
ANXA7,mkl,spearman_p,3.8240104932189845e-20,All
AR,mkl,pearson,0.717029780856184,All
AR,mkl,pearson_p,7.771743314300623e-65,All
AR,mkl,r2_score,-0.329196028480891,All
AR,mkl,spearman,0.6469921075516026,All
AR,mkl,spearman_p,3.673995358663899e-49,All
ARAF,mkl,pearson,0.18814127648141712,All
ARAF,mkl,pearson_p,0.00014518806821293086,All
ARAF,mkl,r2_score,-9.149886163987475,All
ARAF,mkl,spearman,0.22791145504983734,All
ARAF,mkl,spearman_p,3.799690130630428e-06,All
ARID1A,mkl,pearson,0.34784119758084414,All
ARID1A,mkl,pearson_p,6.631683658243022e-13,All
ARID1A,mkl,r2_score,-6.056141634075973,All
ARID1A,mkl,spearman,0.3794612803718408,All
ARID1A,mkl,spearman_p,2.9968283823194843e-15,All
ASNS,mkl,pearson,0.7220970593421228,All
ASNS,mkl,pearson_p,3.72089024191741e-66,All
ASNS,mkl,r2_score,-0.2578938346230222,All
ASNS,mkl,spearman,0.7505539536813991,All
ASNS,mkl,spearman_p,3.753055356612022e-74,All
ATM,mkl,pearson,0.44228473953072595,All
ATM,mkl,pearson_p,9.89714598324103e-21,All
ATM,mkl,r2_score,-4.86854698048325,All
ATM,mkl,spearman,0.47531241978661837,All
ATM,mkl,spearman_p,4.176855730154755e-24,All
AXL,mkl,pearson,0.4287194292604533,All
AXL,mkl,pearson_p,1.8986376010967312e-19,All
AXL,mkl,r2_score,-4.47896758653782,All
AXL,mkl,spearman,0.4504813192874654,All
AXL,mkl,spearman_p,1.5557971896583982e-21,All
BAK1,mkl,pearson,0.20985531780628647,All
BAK1,mkl,pearson_p,2.165404718290906e-05,All
BAK1,mkl,r2_score,-9.955008869482203,All
BAK1,mkl,spearman,0.21285252557376513,All
BAK1,mkl,spearman_p,1.6385233800985326e-05,All
BAP1,mkl,pearson,0.40062442105114066,All
BAP1,mkl,pearson_p,5.728649896369175e-17,All
BAP1,mkl,r2_score,-4.5149960299068725,All
BAP1,mkl,spearman,0.46030674337085153,All
BAP1,mkl,spearman_p,1.583585086018334e-22,All
BAX,mkl,pearson,0.38496356673885634,All
BAX,mkl,pearson_p,1.1007710384773623e-15,All
BAX,mkl,r2_score,-5.311490990606408,All
BAX,mkl,spearman,0.37927975151631466,All
BAX,mkl,spearman_p,3.096510493681109e-15,All
BCL2,mkl,pearson,0.71966074694457,All
BCL2,mkl,pearson_p,1.6176077912020368e-65,All
BCL2,mkl,r2_score,-0.38023880052987136,All
BCL2,mkl,spearman,0.7373114681722223,All
BCL2,mkl,spearman_p,2.6605132646397137e-70,All
BCL2A1,mkl,pearson,0.1765737310476651,All
BCL2A1,mkl,pearson_p,0.0003684513832415975,All
BCL2A1,mkl,r2_score,-8.350629394564946,All
BCL2A1,mkl,spearman,0.21234928072178128,All
BCL2A1,mkl,spearman_p,1.7175290834530328e-05,All
BCL2L1,mkl,pearson,0.3231940351389726,All
BCL2L1,mkl,pearson_p,2.988304861491257e-11,All
BCL2L1,mkl,r2_score,-6.787164573524727,All
BCL2L1,mkl,spearman,0.3052226661765861,All
BCL2L1,mkl,spearman_p,3.893777225068881e-10,All
BCL2L11,mkl,pearson,0.5487319023397726,All
BCL2L11,mkl,pearson_p,4.5988706794094185e-33,All
BCL2L11,mkl,r2_score,-2.69499656814946,All
BCL2L11,mkl,spearman,0.5398341324497382,All
BCL2L11,mkl,spearman_p,7.381042200649408e-32,All
BECN1,mkl,pearson,0.08977896220437985,All
BECN1,mkl,pearson_p,0.07180713365675175,All
BECN1,mkl,r2_score,-11.40158911555932,All
BECN1,mkl,spearman,0.044314100466508556,All
BECN1,mkl,spearman_p,0.374932454356527,All
BID,mkl,pearson,0.15038804181450055,All
BID,mkl,pearson_p,0.002470973371822609,All
BID,mkl,r2_score,-10.125283088672006,All
BID,mkl,spearman,0.18666372948118654,All
BID,mkl,spearman_p,0.00016404425327960743,All
BIRC2,mkl,pearson,0.2475620626100517,All
BIRC2,mkl,pearson_p,4.831371295243383e-07,All
BIRC2,mkl,r2_score,-6.303649713234737,All
BIRC2,mkl,spearman,0.25736277540521885,All
BIRC2,mkl,spearman_p,1.614649655743823e-07,All
BRAF,mkl,pearson,0.5432747158307387,All
BRAF,mkl,pearson_p,2.548291890842208e-32,All
BRAF,mkl,r2_score,-2.1511721151703096,All
BRAF,mkl,spearman,0.5044914457230837,All
BRAF,mkl,spearman_p,2.0822751813050548e-27,All
BRCA2,mkl,pearson,0.23738454940156115,All
BRCA2,mkl,pearson_p,1.4375688571106913e-06,All
BRCA2,mkl,r2_score,-8.323762756739564,All
BRCA2,mkl,spearman,0.254172277594698,All
BRCA2,mkl,spearman_p,2.318479893970167e-07,All
BRD4,mkl,pearson,0.34579948343793493,All
BRD4,mkl,pearson_p,9.210083277678216e-13,All
BRD4,mkl,r2_score,-5.189805890998177,All
BRD4,mkl,spearman,0.4107517306384633,All
BRD4,mkl,spearman_p,7.780659407072311e-18,All
CASP3,mkl,pearson,0.40181767787813955,All
CASP3,mkl,pearson_p,4.543850136222045e-17,All
CASP3,mkl,r2_score,-2.847018872860243,All
CASP3,mkl,spearman,0.4266305721667351,All
CASP3,mkl,spearman_p,2.9574292163508566e-19,All
CASP7,mkl,pearson,0.687210471411967,All
CASP7,mkl,pearson_p,1.280311190550806e-57,All
CASP7,mkl,r2_score,-0.5213097216595706,All
CASP7,mkl,spearman,0.6344523865891515,All
CASP7,mkl,spearman_p,8.861685262615424e-47,All
CASP8,mkl,pearson,0.4636677706622291,All
CASP8,mkl,pearson_p,7.124582707227345e-23,All
CASP8,mkl,r2_score,-3.5966405358724653,All
CASP8,mkl,spearman,0.48541899037266784,All
CASP8,mkl,spearman_p,3.25648103172485e-25,All
CAV1,mkl,pearson,0.5536251868979156,All
CAV1,mkl,pearson_p,9.642418156606626e-34,All
CAV1,mkl,r2_score,-1.3266995049350823,All
CAV1,mkl,spearman,0.5651253441956652,All
CAV1,mkl,spearman_p,2.212004985270869e-35,All
CCNB1,mkl,pearson,0.7498672149243789,All
CCNB1,mkl,pearson_p,6.0257119927381335e-74,All
CCNB1,mkl,r2_score,-0.023930043859573757,All
CCNB1,mkl,spearman,0.7401142376255438,All
CCNB1,mkl,spearman_p,4.262289031115784e-71,All
CCND1,mkl,pearson,0.4105012300868784,All
CCND1,mkl,pearson_p,8.18127003699432e-18,All
CCND1,mkl,r2_score,-4.138336708804583,All
CCND1,mkl,spearman,0.42791769261519413,All
CCND1,mkl,spearman_p,2.2515112119994776e-19,All
CCNE1,mkl,pearson,0.6847751145356668,All
CCNE1,mkl,pearson_p,4.5541274070561534e-57,All
CCNE1,mkl,r2_score,-0.5776760610798595,All
CCNE1,mkl,spearman,0.6316109362306336,All
CCNE1,mkl,spearman_p,2.9659757072771068e-46,All
CCNE2,mkl,pearson,0.36122463042797914,All
CCNE2,mkl,pearson_p,7.255098276586679e-14,All
CCNE2,mkl,r2_score,-5.54415530278058,All
CCNE2,mkl,spearman,0.3834961871816327,All
CCNE2,mkl,spearman_p,1.4404526710981854e-15,All
CDH1,mkl,pearson,0.5093588542576996,All
CDH1,mkl,pearson_p,5.446560922614707e-28,All
CDH1,mkl,r2_score,-2.3949357671302787,All
CDH1,mkl,spearman,0.46285530809850917,All
CDH1,mkl,spearman_p,8.648948963709255e-23,All
CDH2,mkl,pearson,0.15993116048753594,All
CDH2,mkl,pearson_p,0.0012757388985103956,All
CDH2,mkl,r2_score,-9.3062890288128,All
CDH2,mkl,spearman,0.1999058065560031,All
CDH2,mkl,spearman_p,5.311447114632688e-05,All
CDH3,mkl,pearson,0.5555468476753725,All
CDH3,mkl,pearson_p,5.184018917849972e-34,All
CDH3,mkl,r2_score,-2.0404529564922207,All
CDH3,mkl,spearman,0.5519291206938923,All
CDH3,mkl,spearman_p,1.661947170914358e-33,All
CDK1,mkl,pearson,0.4987287253933299,All
CDK1,mkl,pearson_p,9.910694342160997e-27,All
CDK1,mkl,r2_score,-1.9445281546020419,All
CDK1,mkl,spearman,0.5413957726624092,All
CDK1,mkl,spearman_p,4.5618438166475276e-32,All
CDKN1A,mkl,pearson,0.4075564979280752,All
CDKN1A,mkl,pearson_p,1.471529148054221e-17,All
CDKN1A,mkl,r2_score,-4.9635922556000285,All
CDKN1A,mkl,spearman,0.37238198972012765,All
CDKN1A,mkl,spearman_p,1.0575973757335398e-14,All
CDKN1B,mkl,pearson,0.4557649066999103,All
CDKN1B,mkl,pearson_p,4.595523279150829e-22,All
CDKN1B,mkl,r2_score,-3.236806645982,All
CDKN1B,mkl,spearman,0.47229866560182354,All
CDKN1B,mkl,spearman_p,8.794650626806844e-24,All
CDKN2A,mkl,pearson,0.497824844378747,All
CDKN2A,mkl,pearson_p,1.2624599110013423e-26,All
CDKN2A,mkl,r2_score,-3.223129147485813,All
CDKN2A,mkl,spearman,0.4502634345284109,All
CDKN2A,mkl,spearman_p,1.6352943346871405e-21,All
CHEK1,mkl,pearson,0.1668345107200655,All
CHEK1,mkl,pearson_p,0.0007727625828697807,All
CHEK1,mkl,r2_score,-8.395601191825723,All
CHEK1,mkl,spearman,0.15418857887949797,All
CHEK1,mkl,spearman_p,0.0019074053805277695,All
CHEK2,mkl,pearson,0.5544229617281224,All
CHEK2,mkl,pearson_p,7.456029623820392e-34,All
CHEK2,mkl,r2_score,-2.142390406556189,All
CHEK2,mkl,spearman,0.5522175885874427,All
CHEK2,mkl,spearman_p,1.5153055983289683e-33,All
CLDN7,mkl,pearson,0.4304881996657748,All
CLDN7,mkl,pearson_p,1.3014136104659965e-19,All
CLDN7,mkl,r2_score,-3.758772323341219,All
CLDN7,mkl,spearman,0.43301880665101333,All
CLDN7,mkl,spearman_p,7.551937487042275e-20,All
COG3,mkl,pearson,0.34817154861372335,All
COG3,mkl,pearson_p,6.28705064742724e-13,All
COG3,mkl,r2_score,-4.535995859521721,All
COG3,mkl,spearman,0.4582955203569036,All
COG3,mkl,spearman_p,2.543232367331725e-22,All
COL6A1,mkl,pearson,0.39209075251378717,All
COL6A1,mkl,pearson_p,2.9240197367151585e-16,All
COL6A1,mkl,r2_score,-3.574626357473739,All
COL6A1,mkl,spearman,0.43098200818049043,All
COL6A1,mkl,spearman_p,1.1707111116803503e-19,All
COPS5,mkl,pearson,0.2028363170572388,All
COPS5,mkl,pearson_p,4.09628396958364e-05,All
COPS5,mkl,r2_score,-10.62629294425774,All
COPS5,mkl,spearman,0.20425245584768445,All
COPS5,mkl,spearman_p,3.608174371076448e-05,All
CTNNB1,mkl,pearson,0.4067859505091054,All
CTNNB1,mkl,pearson_p,1.7142165795965132e-17,All
CTNNB1,mkl,r2_score,-4.6418593115266775,All
CTNNB1,mkl,spearman,0.3987844050132745,All
CTNNB1,mkl,spearman_p,8.173901144531978e-17,All
DIABLO,mkl,pearson,0.4535214187439468,All
DIABLO,mkl,pearson_p,7.732959398904331e-22,All
DIABLO,mkl,r2_score,-3.548499065429861,All
DIABLO,mkl,spearman,0.45301402478309377,All
DIABLO,mkl,spearman_p,8.694201702291089e-22,All
DIRAS3,mkl,pearson,0.3719028702742629,All
DIRAS3,mkl,pearson_p,1.1505457375873582e-14,All
DIRAS3,mkl,r2_score,-4.636151535651506,All
DIRAS3,mkl,spearman,0.41468840189936546,All
DIRAS3,mkl,spearman_p,3.515123218212603e-18,All
DPP4,mkl,pearson,0.19468335336321574,All
DPP4,mkl,pearson_p,8.361189920616397e-05,All
DPP4,mkl,r2_score,-9.209138825788989,All
DPP4,mkl,spearman,0.2225426989711958,All
DPP4,mkl,spearman_p,6.472964113080981e-06,All
DVL3,mkl,pearson,0.36147524830027244,All
DVL3,mkl,pearson_p,6.953648783986255e-14,All
DVL3,mkl,r2_score,-5.127441593550192,All
DVL3,mkl,spearman,0.37437404319727813,All
DVL3,mkl,spearman_p,7.439845237390449e-15,All
EEF2,mkl,pearson,0.43248145221254375,All
EEF2,mkl,pearson_p,8.48033578403546e-20,All
EEF2,mkl,r2_score,-3.415050020075374,All
EEF2,mkl,spearman,0.4670498607105935,All
EEF2,mkl,spearman_p,3.160892696772186e-23,All
EEF2K,mkl,pearson,0.5050069802802497,All
EEF2K,mkl,pearson_p,1.8083945557956353e-27,All
EEF2K,mkl,r2_score,-2.4382972317791247,All
EEF2K,mkl,spearman,0.5160927772837164,All
EEF2K,mkl,spearman_p,8.218080488239467e-29,All
EGFR,mkl,pearson,0.38014299033495763,All
EGFR,mkl,pearson_p,2.649818454771789e-15,All
EGFR,mkl,r2_score,-4.9858303065520575,All
EGFR,mkl,spearman,0.4870376064248539,All
EGFR,mkl,spearman_p,2.147013947903423e-25,All
EIF4E,mkl,pearson,0.3958282921998392,All
EIF4E,mkl,pearson_p,1.4402680477040544e-16,All
EIF4E,mkl,r2_score,-6.553711831280793,All
EIF4E,mkl,spearman,0.42906463943439016,All
EIF4E,mkl,spearman_p,1.7640248758038012e-19,All
EIF4EBP1,mkl,pearson,0.4859663814840465,All
EIF4EBP1,mkl,pearson_p,2.8292678016954446e-25,All
EIF4EBP1,mkl,r2_score,-4.206440877177672,All
EIF4EBP1,mkl,spearman,0.47630058789079494,All
EIF4EBP1,mkl,spearman_p,3.2667945839056676e-24,All
EIF4G1,mkl,pearson,0.463683035379081,All
EIF4G1,mkl,pearson_p,7.098641381531823e-23,All
EIF4G1,mkl,r2_score,-3.347141705676883,All
EIF4G1,mkl,spearman,0.5035996106487542,All
EIF4G1,mkl,spearman_p,2.6560824356514466e-27,All
ENY2,mkl,pearson,0.4902870173252401,All
ENY2,mkl,pearson_p,9.241144262242677e-26,All
ENY2,mkl,r2_score,-2.0465004751286866,All
ENY2,mkl,spearman,0.4901945999884081,All
ENY2,mkl,spearman_p,9.466566997499833e-26,All
EPPK1,mkl,pearson,0.3348974432070869,All
EPPK1,mkl,pearson_p,5.1110208925559935e-12,All
EPPK1,mkl,r2_score,-6.49154358693708,All
EPPK1,mkl,spearman,0.3243956058462467,All
EPPK1,mkl,spearman_p,2.5014438250841373e-11,All
ERBB2,mkl,pearson,0.6495271554947236,All
ERBB2,mkl,pearson_p,1.1743860240958598e-49,All
ERBB2,mkl,r2_score,-1.776381813312236,All
ERBB2,mkl,spearman,0.5359628785190625,All
ERBB2,mkl,spearman_p,2.4070423811748663e-31,All
ERBB3,mkl,pearson,0.33094435622740404,All
ERBB3,mkl,pearson_p,9.358801044231514e-12,All
ERBB3,mkl,r2_score,-4.7299027493191055,All
ERBB3,mkl,spearman,0.331753800845143,All
ERBB3,mkl,spearman_p,8.274335703036916e-12,All
ERCC1,mkl,pearson,0.0781440326508733,All
ERCC1,mkl,pearson_p,0.11728925741576793,All
ERCC1,mkl,r2_score,-11.361716773238378,All
ERCC1,mkl,spearman,0.04751852001753733,All
ERCC1,mkl,spearman_p,0.3413495234840702,All
ERCC5,mkl,pearson,0.20922073696347246,All
ERCC5,mkl,pearson_p,2.2959112797920755e-05,All
ERCC5,mkl,r2_score,-7.814368531874491,All
ERCC5,mkl,spearman,0.25992002586264124,All
ERCC5,mkl,spearman_p,1.2039668236444125e-07,All
ERRFI1,mkl,pearson,0.2874581353684209,All
ERRFI1,mkl,pearson_p,4.171160538479953e-09,All
ERRFI1,mkl,r2_score,-8.388661384076238,All
ERRFI1,mkl,spearman,0.2787074587093555,All
ERRFI1,mkl,spearman_p,1.2645807007689336e-08,All
ESR1,mkl,pearson,0.858738700748487,All
ESR1,mkl,pearson_p,1.6741005901857016e-118,All
ESR1,mkl,r2_score,0.4750872500563471,All
ESR1,mkl,spearman,0.8304572708554472,All
ESR1,mkl,spearman_p,6.222553603397528e-104,All
ETS1,mkl,pearson,0.2684677565009462,All
ETS1,mkl,pearson_p,4.411927693733378e-08,All
ETS1,mkl,r2_score,-5.882575405623396,All
ETS1,mkl,spearman,0.2895068539602326,All
ETS1,mkl,spearman_p,3.199372333550521e-09,All
FASN,mkl,pearson,0.654474508833729,All
FASN,mkl,pearson_p,1.228520785347089e-50,All
FASN,mkl,r2_score,-1.465982335523916,All
FASN,mkl,spearman,0.637105262397995,All
FASN,mkl,spearman_p,2.836000172909309e-47,All
FN1,mkl,pearson,0.3892246851251744,All
FN1,mkl,pearson_p,5.002384989126097e-16,All
FN1,mkl,r2_score,-4.30088763530029,All
FN1,mkl,spearman,0.37784540963512414,All
FN1,mkl,spearman_p,4.0072475583853905e-15,All
FOXM1,mkl,pearson,0.7591615587364138,All
FOXM1,mkl,pearson_p,8.685539849496167e-77,All
FOXM1,mkl,r2_score,-0.017167332136955427,All
FOXM1,mkl,spearman,0.761433639736269,All
FOXM1,mkl,spearman_p,1.6769626021689482e-77,All
FOXO3,mkl,pearson,0.35480305314089805,All
FOXO3,mkl,pearson_p,2.1252079223655348e-13,All
FOXO3,mkl,r2_score,-8.109036891445635,All
FOXO3,mkl,spearman,0.35580443607577156,All
FOXO3,mkl,spearman_p,1.8001431876819767e-13,All
G6PD,mkl,pearson,0.47563926002583656,All
G6PD,mkl,pearson_p,3.851122024192961e-24,All
G6PD,mkl,r2_score,-2.9035509277636025,All
G6PD,mkl,spearman,0.4708592082635764,All
G6PD,mkl,spearman_p,1.251820658991504e-23,All
GAB2,mkl,pearson,0.4785626721893432,All
GAB2,mkl,pearson_p,1.855645001086175e-24,All
GAB2,mkl,r2_score,-6.8160993349531855,All
GAB2,mkl,spearman,0.47382118847472676,All
GAB2,mkl,spearman_p,6.0430438514607115e-24,All
GAPDH,mkl,pearson,0.47934612753668593,All
GAPDH,mkl,pearson_p,1.5240427267215418e-24,All
GAPDH,mkl,r2_score,-4.03133038566496,All
GAPDH,mkl,spearman,0.4933738696672669,All
GAPDH,mkl,spearman_p,4.114226164023472e-26,All
GATA3,mkl,pearson,0.8114679735870912,All
GATA3,mkl,pearson_p,1.3808154139598213e-95,All
GATA3,mkl,r2_score,0.25030438209490136,All
GATA3,mkl,spearman,0.7856870524493857,All
GATA3,mkl,spearman_p,1.1650931907862441e-85,All
GATA6,mkl,pearson,0.14405607671141676,All
GATA6,mkl,pearson_p,0.003754869137572173,All
GATA6,mkl,r2_score,-8.658390479068904,All
GATA6,mkl,spearman,0.10402018554138535,All
GATA6,mkl,spearman_p,0.03685470981855481,All
GSK3A,mkl,pearson,0.19228345840626537,All
GSK3A,mkl,pearson_p,0.00010259123179277004,All
GSK3A,mkl,r2_score,-8.76702010522253,All
GSK3A,mkl,spearman,0.2468708869149287,All
GSK3A,mkl,spearman_p,5.210689953663475e-07,All
GSK3B,mkl,pearson,0.19279530385629567,All
GSK3B,mkl,pearson_p,9.823182557665595e-05,All
GSK3B,mkl,r2_score,-8.709330090314403,All
GSK3B,mkl,spearman,0.24738287755700483,All
GSK3B,mkl,spearman_p,4.927078638614519e-07,All
HSPA1A,mkl,pearson,0.1738194050714215,All
HSPA1A,mkl,pearson_p,0.0004561261631673862,All
HSPA1A,mkl,r2_score,-9.299405223069108,All
HSPA1A,mkl,spearman,0.18965334291616207,All
HSPA1A,mkl,spearman_p,0.0001280100196326782,All
IGFBP2,mkl,pearson,0.5032094455377776,All
IGFBP2,mkl,pearson_p,2.953844487560147e-27,All
IGFBP2,mkl,r2_score,-2.877618059046688,All
IGFBP2,mkl,spearman,0.4919758408232536,All
IGFBP2,mkl,spearman_p,5.941496212786362e-26,All
INPP4B,mkl,pearson,0.6791928422821433,All
INPP4B,mkl,pearson_p,7.969876420140204e-56,All
INPP4B,mkl,r2_score,-0.4594900228696275,All
INPP4B,mkl,spearman,0.6886105744071538,All
INPP4B,mkl,spearman_p,6.1379899728656996e-58,All
IRF1,mkl,pearson,0.29300887377114493,All
IRF1,mkl,pearson_p,2.02308541936852e-09,All
IRF1,mkl,r2_score,-7.261859700932719,All
IRF1,mkl,spearman,0.3153396659135041,All
IRF1,mkl,spearman_p,9.374012560042518e-11,All
IRS1,mkl,pearson,0.4440237560957181,All
IRS1,mkl,pearson_p,6.711778916396236e-21,All
